Sample,d18O,Mg,Sr,Layer,,,
LN-13-10,0.27,3361.00,2304.00,21,,,
LN-13-10,1.69,9443.00,1922.00,22,,,
LN-13-10,1.79,11045.00,2209.00,23,,,
LN-13-10,1.86,11045.00,2209.00,,,,
LN-13-10,2.17,7673.00,2379.00,24,,,
LN-13-10,0.66,3303.00,2021.00,25,,,
LN-13-10,0.87,10737.00,2069.00,26,,,
LN-13-10,0.95,2996.00,2176.00,27,,,
LN-13-10,1.04,9394.00,2041.00,28,,,
LN-13-10,1.22,6239.00,2918.00,29,,,
LN-13-10,1.43,10394.00,2255.00,30,,,
LN-13-10,1.53,9667.00,2440.00,31,,,
LN-13-13,-0.39,6855,2402,1,,,
LN-13-13,-0.9,7461,2248,2,,,
LN-13-13,-0.74,6883,2267,3,,,
LN-13-13,-1.31,10642,2385,4,,,
LN-13-13,-0.65,9877,2499,5,,,
LN-13-13,-0.09,11823,2195,6,,,
LN-13-13,0.5,10878,2370,7,,,
LN-13-13,0.83,11217,2357,8,,,
LN-13-13,-0.88,8373,2170,9,,,
LN-13-13,-0.71,9874,2146,10,,,
LN-13-13,0.35,9045,2305,11,,,
LN-13-13,1.02,8059,2028,12,,,
LN-13-13,0.07,10036,2183,13,,,
LN-13-13,-0.88,8416,2197,14,,,
LN-13-13,-0.26,10652,2209,15,,,
LN-13-13,0.66,,,,,,
LN-13-13,-0.25,9038,2243,16,,,
LN-13-13,0.31,10974,2477,17,,,
LN-13-13,0.6,8962,2329,18,,,
LN-13-13,2.11,,,,,,
LN-13-13,1.2,7639,2036,19,,,
LN-13-13,1.52,7321,2081,20,,,
LN-13-13,1.69,,2088,21,,,
LN-13-13,-0.04,8702,2117,22,,,
LN-13-13,0.48,10463,2178,23,,,
LN-13-13,0.95,10358,1963,24,,,
LN-13-13,1.64,11840,1929,25,,,
LN-13-13,1.13,10314,2122,26,,,
LN-13-13,0.5,10386,2264,27,,,
LN-13-13,0.75,9275,2225,28,,,
LN-13-13,1.62,9829,2179,29,,,
LN-13-13,9.28,9829,2179,,,,
LN-13-13,0.39,8793,2274,30,,,
LN-13-13,2.14,9970,2341,31,,,
LN-13-13,5.94,9970,2341,,,,
LN-13-13,1.04,8622,2423,32,,,
LN-13-13,0.97,8622,2786,33,,,
LN-13-13,1.38,9509,2478,34,,,
LN-13-13,1.23,11217,2026,35,,,
LN-13-13,1.48,,3568,36,,,
LN-13-13,1.5,,3568,,,,
LN-13-13,0.22,,3568,,,,
LN-13-13,0.76,9592,2245,37,,,
LN-13-13,0.06,11701,2759,38,,,
LN-13-13,1.15,11460,3117,39,,,
